CLIENTE_NUMBER	FX_IDADE	CEP_GRUPO_RISCO	FX_RENDA	INDICADOR_RESTRITIVO	QTDE_CONSULTAS_CREDITO	RESPOSTA
275	sem informacao	(1) baissiximo	(3) De 1500 a 2500	0	2	0
276	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	3 ou mais	1
277	sem informacao	(5) altissimo	(1) nao informado	0	2	1
278	(4) 40 a 45	(4) alto	(3) De 1500 a 2500	0	1	0
279	sem informacao	(5) altissimo	(1) nao informado	0	0	0
280	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
281	sem informacao	(5) altissimo	(1) nao informado	0	0	1
282	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	0	0
283	(1) <=24	(3) medio	(5) 5001 a 7000	0	1	0
284	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
285	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
286	sem informacao	(5) altissimo	(1) nao informado	0	1	0
287	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	0
288	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	0
289	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	1	0
290	sem informacao	(5) altissimo	(1) nao informado	0	0	1
291	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	1	0
292	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
293	(1) <=24	(3) medio	(2) <1500	0	2	0
294	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	0	0
295	(5) >=46	(3) medio	(5) 5001 a 7000	1	3 ou mais	0
296	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	0	0
297	(3) 35 a 39	(3) medio	(4) De 2501 a 5000	0	1	0
298	sem informacao	(5) altissimo	(1) nao informado	0	0	0
299	(2) 25 a 34	(5) altissimo	(4) De 2501 a 5000	0	0	0
300	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	1	1
301	sem informacao	(5) altissimo	(1) nao informado	0	0	1
302	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	3 ou mais	0
303	(5) >=46	(4) alto	(5) 5001 a 7000	0	0	0
304	(1) <=24	(5) altissimo	(3) De 1500 a 2500	0	0	1
305	(3) 35 a 39	(3) medio	(3) De 1500 a 2500	0	1	0
306	sem informacao	(5) altissimo	(3) De 1500 a 2500	0	0	0
307	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	1	0
308	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
309	(2) 25 a 34	(4) alto	(4) De 2501 a 5000	0	3 ou mais	0
310	(2) 25 a 34	(5) altissimo	(2) <1500	0	1	0
311	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	3 ou mais	0
312	(4) 40 a 45	(5) altissimo	(4) De 2501 a 5000	0	3 ou mais	1
313	sem informacao	(5) altissimo	(1) nao informado	0	0	0
314	(3) 35 a 39	(3) medio	(5) 5001 a 7000	0	1	0
315	sem informacao	(5) altissimo	(1) nao informado	0	1	0
316	(5) >=46	(2) baixo	(5) 5001 a 7000	1	1	0
317	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	0
318	(5) >=46	(4) alto	(3) De 1500 a 2500	0	1	0
319	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
320	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	1	0
321	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	1
322	sem informacao	(3) medio	(3) De 1500 a 2500	0	0	1
323	(4) 40 a 45	(3) medio	(3) De 1500 a 2500	0	3 ou mais	1
324	(2) 25 a 34	(5) altissimo	(5) 5001 a 7000	0	1	0
325	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	0
326	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	0	0
327	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	0	0
328	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	2	0
329	sem informacao	(5) altissimo	(1) nao informado	0	1	0
330	(5) >=46	(3) medio	(6) >7000	0	2	0
331	(5) >=46	(2) baixo	(6) >7000	0	1	0
332	(5) >=46	(3) medio	(5) 5001 a 7000	0	0	0
333	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
334	sem informacao	(3) medio	(3) De 1500 a 2500	0	0	0
335	(5) >=46	(2) baixo	(5) 5001 a 7000	0	0	0
336	(2) 25 a 34	(4) alto	(5) 5001 a 7000	0	0	0
337	(3) 35 a 39	(4) alto	(3) De 1500 a 2500	0	0	0
338	(1) <=24	(4) alto	(5) 5001 a 7000	0	2	0
339	sem informacao	(5) altissimo	(1) nao informado	0	0	0
340	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
341	(3) 35 a 39	(3) medio	(3) De 1500 a 2500	0	0	0
342	(5) >=46	(4) alto	(3) De 1500 a 2500	0	0	0
343	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	0	1
